SORT MONTH,WEEK,"AGENT DATA
https://desk.zoho.com/agent/winenowliq9/wine-now-liq9/reports/details/1266417000000144007",SALES OR#,SALES AMT,CONVERSION %,AOV,ALL TICKET SUM,OUTGOING,RESPONSES,FIRST RESPONSES,FCR TICKETS,CLOSED TICKETS,REOPENED TICKETS,FIRST RESPONSE TIME (AVG),RESPONSE TIME (AVG),RESOLUTION TIME (AVG),OK RATINGS,BAD RATINGS,GOOD RATINGS,FIRST RESPONSE VIOLATION,FIRST RESPONSE SUCCESS,RESPONSE VIOLATION,RESPONSE SUCCESS,RESOLUTION VIOLATION,RESOLUTION SUCCESS,FIRST RESPONSE VIOLATION TIME [AVG],RESPONSE VIOLATION TIME [AVG],RESOLUTION VIOLATION TIME [AVG],FIRST RESPONSE RESIDUAL TIME (AVG),RESPONSE RESIDUAL TIME (AVG),RESOLUTION RESIDUAL TIME (AVG)
Mar 2026,11,ALL ( 9-15 MAR 2026 ),46,"฿769,532",,"฿16,729",487,49,45,39,21,321,12,,,,,,,,,,,,,,,,,,
Mar 2026,11,Wine-now&Liq9 Support M,8,"413,439",7.08%,"฿51,680",113,8,6,6,2,89,2,0:06:00,0:06:00,2d 8h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Mar 2026,11,Wine-now&Liq9 Support Y,28,"325,855",13.66%,"฿11,638",205,20,19,16,7,133,10,0:30:22,0:25:44,2d 8h,0,1,0,0,0,0,0,0,0,-,-,-,-,-,-
Mar 2026,11,Wine-now&Liq9 Support B,10,"30,238",5.92%,"฿3,024",169,21,20,17,12,99,0,0:01:00,0:01:00,3d 5h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Mar 2026,12,ALL ( 16-22 MAR 2026 ),54,"฿855,028",,"฿15,834",430,52,49,34,27,253,15,,,,,,,,,,,,,,,,,,
Mar 2026,12,Wine-now&Liq9 Support M,2,"18,118",3.45%,"฿9,059",58,6,5,3,2,41,1,0:04:00,1d 10h,2d 7h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Mar 2026,12,Wine-now&Liq9 Support Y,21,"286,543",13.21%,"฿13,645",159,22,22,16,12,76,11,0:13:52,1:22:08,2d 10h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Mar 2026,12,Wine-now&Liq9 Support B,31,"550,367",14.55%,"฿17,754",213,24,22,15,13,136,3,0:34:40,2:00:08,1d 21h,0,0,1,0,0,0,0,0,0,-,-,-,-,-,-
Mar 2026,13,ALL ( 23-29 MAR 2026 ),59,"฿464,596",,"฿7,875",369,36,32,26,24,244,7,,,,,,,,,,,,,,,,,,
Mar 2026,13,Wine-now&Liq9 Support M,8,"38,487",15.09%,"฿4,811",53,2,1,1,1,47,1,0:01:00,0:01:00,3d 8h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Mar 2026,13,Wine-now&Liq9 Support Y,26,"276,327",18.71%,"฿10,628",139,9,8,6,8,102,6,0:01:00,0:31:45,2d 18h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Mar 2026,13,Wine-now&Liq9 Support B,25,"149,782",14.12%,"฿5,991",177,25,23,19,15,95,0,0:02:53,0:04:54,2d 6h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Apr 2026,14,ALL ( 30 MAR-31 MAR 2026 ),13,"฿90,254",,"฿6,943",145,25,21,13,8,77,1,,,,,,,,,,,,,,,,,,
Apr 2026,14,Wine-now&Liq9 Support M,4,"20,717",12.12%,"฿5,179",33,3,1,1,1,27,0,0:01:00,0:01:00,4d 13h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Apr 2026,14,Wine-now&Liq9 Support Y,3,"17,255",5.36%,"฿5,752",56,3,3,3,5,41,1,0:01:00,0:01:00,1w 0d,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Apr 2026,14,Wine-now&Liq9 Support B,6,"52,282",10.71%,"฿8,714",56,19,17,9,2,9,0,0:03:06,1:05:52,2d 15h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Apr 2026,14#,ALL ( 01 APR-5 APR 2026 ),31,"฿215,895",,"฿6,964",219,41,36,18,8,111,5,,,,,,,,,,,,,,,,,,
Apr 2026,14#,Wine-now&Liq9 Support M,4,"24,203",8.16%,"฿6,051",49,3,2,0,1,41,2,-,0:06:00,2d 0h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Apr 2026,14#,Wine-now&Liq9 Support Y,13,"99,540",15.48%,"฿7,657",84,9,9,9,6,48,3,0:06:53,0:06:53,1d 15h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Apr 2026,14#,Wine-now&Liq9 Support B,14,"92,152",16.28%,"฿6,582",86,29,25,9,1,22,0,0:01:00,0:29:33,2d 10h,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
