Brand,Topic Title (Thai | EN),Content Type,Primary Keyword,Long-tail Keywords,Search Intent,Buyer Persona,Category,Seasonality,Demand Signal,Thai Keyword,AEO Value,Priority Score,Priority,Production Status,Article File,Notes
liq9,Bacardi: รัมคลาสสิค | Bacardi: Rum's Iconic Brand,Spotlight,bacardi rum review price,bacardi white rum mixology,Commercial,Casual Drinker,Spotlights,Evergreen,Medium,บาคาร์ดี,High,75,P1,Not started,,Standard rum reference AEO note: Globally recognized rum brand
liq9,Cognac 101: แบรนดี้ของฝรั่งเศส | Cognac 101: French Brandy Mastery,Pillar,cognac beginner guide,cognac distillation france regions,Informational,Enthusiast,Education,Evergreen,High,โคนยัก คืออะไร,Medium,75,P1,Not started,,Foundational cognac knowledge pillar AEO note: Premium brandy education searches
liq9,Hennessy XO: Cognac ของคนรวยและมีการศึกษา | Hennessy XO: Cognac's Crown Jewel,Spotlight,hennessy XO cognac review,hennessy XO price tasting collector,Commercial,Collector,Spotlights,Seasonal,Medium,เฮนเนสี่,High,75,P1,Not started,,Premium gifting and collection standard AEO note: Luxury cognac benchmark in Asia
liq9,Jameson: ไอรืน Whiskey Classic | Jameson: Ireland's Global Ambassador,Spotlight,jameson irish whiskey review,jameson price availability thailand,Commercial,Casual Drinker,Spotlights,Evergreen,High,เจมสัน,Medium,75,P1,Not started,,Irish whiskey standard AEO note: Most accessible Irish whiskey
liq9,Tanqueray: จินคลาสสิก | Tanqueray: Gin's Timeless Classic,Spotlight,tanqueray gin review,tanqueray price tasting notes classic,Commercial,Casual Drinker,Spotlights,Evergreen,Medium,แตนเก่อเรย์,High,75,P1,Not started,,Standard London Dry reference AEO note: Benchmark gin brand widely cited
liq9,ท่าน Macallan 25: บทวิจารณ์ของผู้เชี่ยวชาญและราคา | The Macallan 25: Expert Review & Pricing,Spotlight,macallan 25 whisky,macallan review collector price Thailand,Commercial,Collector,Spotlights,Seasonal,Medium,แม็คคลาน 25,High,75,P1,Published,pipeline/public/content/liq9-day3-macallan-guide.html,"Premium single malt investment piece AEO note: Collectible whisky highly cited in luxury forums Broadened from Macallan 25 to full Macallan range (Double Cask, Sherry Oak)."
liq9,พาโตรน โนบล ว่าง | Patron Silver: Mexico's Premium Tequila,Spotlight,patron silver tequila review,patron price tasting notes quality,Commercial,Enthusiast,Spotlights,Evergreen,Medium,แพตรอน,High,75,P1,Not started,,Premium tequila standard in Thailand AEO note: Top-selling tequila globally
liq9,วิสกี้ของสตอตโปรแกรม 15 ตัวอักษร | Lagavulin 16: Islay's Smoky Masterpiece,Spotlight,lagavulin 16 whisky,lagavulin review tasting notes price,Commercial,Enthusiast,Spotlights,Evergreen,Medium,ลากาวูลิน,High,75,P1,Not started,,Peaty Islay classic for enthusiasts AEO note: Highly respected in whisky communities
liq9,Cocktail Bar Bangkok: ที่ดีที่สุดสถานที่ | Bangkok's Best Cocktail Bars,Blog,best cocktail bars bangkok,cocktail lounge fine dining bangkok,Commercial,Enthusiast,Travel & Experiences,Evergreen,High,บาร์คอกเทล กรุงเทพ,Medium,70,P1,Not started,,Bangkok cocktail destination guide AEO note: Strong local interest for diners
liq9,Gift Sets: Spirits Gifting Guide | ชุดของขวัญ เหล้า,Blog,spirits gift set selection,whisky gin gift box elegant,Commercial,Casual Drinker,Pairing & Serving,Seasonal,High,เหล้า ของขวัญ,Medium,70,P1,Not started,,Spirits gifting recommendations AEO note: Strong holiday season interest
liq9,Old Fashioned: Whiskey Cocktail Elegance,Blog,old fashioned recipe whiskey,old fashioned bourbon rye cocktail,Informational,Enthusiast,Cocktails & Mixing,Evergreen,High,โอลด์ แฟชชั่น,High,70,P1,Not started,,Timeless whiskey cocktail guide AEO note: Classic whiskey cocktail searches
liq9,Speyside Whisky: ความทรรศนะและสมดุล | Speyside: Whisky's Heartland,Blog,speyside whisky smooth fruity,speyside distilleries glenfiddich,Informational,Enthusiast,Education,Evergreen,High,วิสกี้ Speyside,High,70,P1,Not started,,Speyside distillery guide AEO note: Most popular whisky region content
liq9,วิสกี้สก็อต vs วิสกี้ญี่ปุ่น: อะไรคือความแตกต่าง | Scotch vs Japanese Whisky: Key Differences,Blog,scotch vs japanese whisky,whisky comparison tasting notes regions,Informational,Enthusiast,Education,Evergreen,High,วิสกี้สก็อตและญี่ปุ่น,High,70,P1,Not started,,Buyer decision-making content trending in Bangkok AEO note: Popular AEO query for whisky comparisons
wine-now,Napa Valley 2023: วินเทจที่นักสะสมต้องจับตา | Napa 2023: A Vintage for the Ages,Blog,Napa Valley 2023 vintage,"Napa Valley wine, California wine 2023, Napa vintage 2023, Cabernet Sauvignon Napa",Informational,Enthusiast,Spotlights,Seasonal,High,นาปา 2023,High,70,P1,Not started,,Vintage assessment Season: Fall/Winter.
wine-now,Natural / Organic / Biodynamic: 3 คำที่คนสับสนที่สุดในร้านไวน์ | Natural Wine: Trend or Traditional Return,Blog,natural wine,"natural wine, natural wine guide, natural wine benefits, what is natural wine, orange wine",Informational,Enthusiast,Spotlights,Evergreen,High,ไวน์ธรรมชาติ,High,70,P1,Published,pipeline/public/content/day5-natural-organic-biodynamic.html,Trendy educational content Article also covers Organic (overlaps row 'Organic Wine').
wine-now,Pauillac ถึง Saint-Émilion: ข้อมูลใน Private Tasting Tour | Pauillac to Saint-Emilion: Private Tasting Tour Insights,Blog,Bordeaux wine tasting,"Bordeaux tasting experience, Pauillac wine, Margaux wine, Bordeaux wine tour",Commercial,Collector,Travel & Experiences,Seasonal,Medium,ทัศนศึกษา Bordeaux,High,70,P1,Not started,,Travel content Season: Fall/Winter.
wine-now,Pinot Noir vs Cabernet: หยุดถามว่าอันไหนดีกว่า | Pinot Noir vs Cabernet: Beyond the Age-Old Debate,Blog,red wine comparison,"Pinot Noir Cabernet comparison, red wine varieties, wine selection",Commercial,Explorer,Education,Evergreen,High,ไวน์แดงเปรียบเทียบ,Medium,70,P1,Not started,,Educational content
wine-now,Prosecco vs Champagne: ทางเลือกที่คุ้มค่ากว่า อธิบายอย่างชัดเจน | Prosecco vs Champagne: The Budget-Friendly Alternative Explained,Blog,prosecco vs champagne,"Prosecco, Italian sparkling wine, cheap champagne, prosecco wine",Commercial,Explorer,Education,Seasonal,High,โปรเสคโกต่อแชมเปญ,Medium,70,P1,Not started,,Comparison guide Season: Holidays.
wine-now,Sauvignon Blanc vs Chardonnay: ไวน์ขาวแบบไหนที่ใช่สำหรับคุณ | Sauvignon Blanc vs Chardonnay: Which White Wine Is Right for You,Blog,white wine comparison,"Sauvignon Blanc, Chardonnay, white wine differences, wine comparison",Commercial,Explorer,Education,Evergreen,High,ไวน์ขาวเปรียบเทียบ,Medium,70,P1,Not started,,Educational content
wine-now,คลื่นใหม่: นักทำไวน์รุ่นใหม่ที่กำลังเปลี่ยนกฎของ Old World | The New Wave: Young Winemakers Rewriting Old World Rules,Blog,young winemakers,"natural wine, biodynamic wine, young winemakers, wine innovation, wine trends",Informational,Enthusiast,Spotlights,Seasonal,High,นักผลิตไวน์รุ่นใหม่,High,70,P1,Not started,,Trendy content Season: Spring/Fall.
wine-now,ชีสบอร์ด x ไวน์ 2026: กฎที่ใช้ได้จริง | Cheese Board x Wine 2026: The Rules That Actually Work,Blog,wine cheese pairing,"wine cheese pairing, cheese and wine combination, best wine cheese pairings, French wine cheese",Commercial,Enthusiast,Pairing & Serving,Seasonal,High,ผสมไวน์กับชีส,Medium,70,P1,Not started,,Lifestyle content Season: Holidays.
wine-now,ชุมชนไวน์กรุงเทพ: สถานที่ที่นักสะสมมาพบกัน | Bangkok Wine Community: Where Collectors Meet,Blog,wine community Bangkok,"wine enthusiasts Bangkok, wine events Bangkok, wine society Thailand",Commercial,Enthusiast,Travel & Experiences,Evergreen,Medium,ชุมชนไวน์กรุงเทพ,High,70,P1,Not started,,Community guide
wine-now,ลงทุนในไวน์วินเทจ: ไวน์เป็นสินทรัพย์ทางการเงินได้จริงไหม | Vintage Wine Investment: Can Wine Be a Financial Asset,Blog,wine investment,"wine as investment, collectible wine, wine portfolio, wine appreciation",Informational,Collector,Tips & Guides,Evergreen,High,ไวน์เป็นการลงทุน,High,70,P1,Not started,,Investment guide
wine-now,อ่านฉลากไวน์: Old World vs New World ต่างกันยังไง | Wine Labels Decoded: What Every Symbol Means,Blog,wine label terms,"wine label meaning, wine label terms, wine classification, appellation, vintage year",Informational,Explorer,Education,Evergreen,High,ข้อมูลบนเลเบลไวน์,High,70,P1,Published,pipeline/public/content/day1-wine-label-old-world-vs-new-world.html,Practical guide Article covers Old World vs New World label reading.
wine-now,ไวน์กับสุขภาพ: แยกข้อเท็จจริงออกจากข่าวพาดหัว | Wine and Health: Separating Facts from Headlines,Blog,wine health,"wine health benefits, resveratrol, wine and heart health, wine nutrition",Informational,Explorer,Education,Evergreen,High,ไวน์และสุขภาพ,High,70,P1,Not started,,Health content
wine-now,ไวน์บอร์โดซ์: ทำไมถึงสำคัญ และผู้ผลิตที่คุณต้องลองชิม | Bordeaux Wine: Why It Matters and What to Taste,Blog,Bordeaux wine,"Bordeaux wine, Bordeaux classification, Bordeaux regions, left bank vs right bank",Informational,Enthusiast,Spotlights,Seasonal,High,ไวน์บอร์กุนดี,High,70,P1,Not started,,Regional spotlight Season: Fall.
wine-now,ไวน์ยั่งยืน: สำคัญจริงๆ หรือแค่การตลาด | Sustainable Wine: Does It Actually Matter,Blog,sustainable wine,"organic wine, biodynamic wine, sustainable vineyard, eco-friendly wine",Informational,Enthusiast,Spotlights,Evergreen,High,ไวน์ที่ยั่งยืน,High,70,P1,Not started,,Sustainability content
wine-now,ไวน์ระดับ Premium: คำแนะนำสำหรับนักสะสมและโอกาสพิเศษ | Luxury Wine Recommendations: For Collectors and Special Occasions,Blog,luxury wine,"expensive wine, collector wine, wine gift, prestige wine",Commercial,Collector,Tips & Guides,Seasonal,Medium,ไวน์หรูหรา,High,70,P1,Not started,,Luxury guide Season: Holidays.
wine-now,ไวน์ออร์แกนิก: ความหมายที่แท้จริง และสำคัญแค่ไหนกับคุณ | Organic Wine: What It Really Means and If It Matters,Blog,organic wine,"organic wine, biodynamic wine, certified organic, natural wine",Informational,Enthusiast,Education,Evergreen,High,ไวน์อินทรีย์,High,70,P1,Not started,,Educational content
wine-now,ไวน์เก่า: ขวดไหนดีขึ้นเมื่อเวลาผ่านไป | Aging Wine: Which Bottles Improve With Time,Blog,wine aging,"wine aging, how long to age wine, cellar worthy wine, investment wine",Informational,Collector,Education,Evergreen,High,การเก็บรักษาไวน์,High,70,P1,Not started,,Collector guide
wine-now,ไวน์เบอร์กันดี: หัวใจของไวน์ฝรั่งเศส เข้าใจง่ายใน 5 นาที | Burgundy Wine: The Heart of French Wine Country,Blog,Burgundy wine,"Burgundy wine region, Pinot noir Burgundy, Chardonnay Burgundy, Burgundy classification",Informational,Enthusiast,Spotlights,Seasonal,High,ไวน์บูร์กุนดี,High,70,P1,Not started,,Regional spotlight Season: Fall.
wine-now,ไวน์แดง vs ไวน์ขาว: ความแตกต่างและวิธีเลือกให้ถูกโอกาส | Red vs White: What Makes Them Different,Blog,red wine vs white wine,"red wine vs white wine, wine color differences, when to drink red wine, when to drink white wine",Informational,Explorer,Education,Evergreen,High,ไวน์แดงกับไวน์ขาว,High,70,P1,Not started,,Core educational content
wine-now,ไวน์โรเซ่: ไม่ใช่แค่เครื่องดื่มฤดูร้อนอีกต่อไป | Rosé Wine: More Than Just a Summer Drink,Blog,rose wine,"Rosé wine, summer wine, light wine, refreshing wine, Provence wine",Commercial,Explorer,Pairing & Serving,Seasonal,High,ไวน์โรเซ,Medium,70,P1,Not started,,Seasonal content Season: Summer.
liq9,Spirits Pairing with Thai Food: ว่างลึกลับ | Spirits & Thai Food: Perfect Pairings,Guide,spirits thai food pairing,whisky rum gin thai cuisine,Informational,Enthusiast,Pairing & Serving,Evergreen,High,เหล้า อาหารไทย,Medium,68,P2,Published,pipeline/public/content/liq9-day4-spicy-thai-cocktails.html,Cultural cuisine-spirit combinations AEO note: Strong local market angle Narrowed to spicy Thai food x cocktails.
liq9,Belvedere Vodka: โปแลนด์ความสง่าราศี | Belvedere: Polish Vodka Excellence,Spotlight,belvedere vodka review,belvedere price tasting premium,Commercial,Enthusiast,Spotlights,Evergreen,Medium,เบลเวเดียร์,Medium,65,P2,Not started,,European vodka quality standard AEO note: Premium vodka reference
liq9,Diplomatico Reserva Exclusiva: Premium Venezuelan Rum,Spotlight,diplomatico rum reserve,diplomatico reserva price tasting collector,Commercial,Collector,Spotlights,Seasonal,Medium,ดิปโลมาติโก,Medium,65,P2,Not started,,Venezuelan rum quality benchmark AEO note: Collector rum trending in Asia
liq9,Don Julio 1942: Collector's Tequila Investment,Spotlight,don julio 1942 tequila collector,don julio 1942 price investment rare,Commercial,Collector,Spotlights,Seasonal,Medium,ดอน จูลิโอ,Medium,65,P2,Not started,,Investment-grade tequila AEO note: Luxury tequila for collectors
liq9,Four Roses Bourbon: อเมริกัน Craft,Spotlight,four roses bourbon review,four roses small batch price,Commercial,Enthusiast,Spotlights,Evergreen,Medium,ฟอร์ โรซส์,Medium,65,P2,Not started,,US bourbon standard AEO note: American bourbon quality
liq9,Hendrick's Cucumber Gin: เกินความธรรมชาติหรือนวัตกรรม | Hendrick's: Cucumber Gin Innovation,Spotlight,hendrick's cucumber gin,hendrick's review mixology unique,Commercial,Enthusiast,Spotlights,Evergreen,Medium,เฮนดริกส์,Medium,65,P2,Not started,,Unique botanical approach AEO note: Trending in craft gin conversations
liq9,Maker's Mark: สิ่งที่ทำให้พิเศษ | Maker's Mark: Bourbon's Rebel,Spotlight,maker's mark bourbon review,maker's mark wheat bourbon taste,Commercial,Enthusiast,Spotlights,Evergreen,Medium,เมเกอร์สมาร์ก,Medium,65,P2,Not started,,American bourbon innovation AEO note: Distinctive bourbon brand
liq9,Nikka Whisky: Japan's Masterpiece | นิกกะ วิสกี้,Spotlight,nikka whisky japan review,nikka from the barrel price,Commercial,Enthusiast,Spotlights,Seasonal,Medium,นิกกะ,Medium,65,P2,Not started,,Japanese whisky quality AEO note: Major Japanese whisky brand
liq9,วิสกี้ญี่ปุ่น Hibiki 21: ความสมดุลที่สมบูรณ์แบบ | Hibiki 21: Japanese Whisky Perfection,Spotlight,hibiki 21 whisky japan,hibiki review price japan whisky,Commercial,Collector,Spotlights,Seasonal,Medium,ฮิบิกิ 21,Medium,65,P2,Not started,,Japanese whisky boom content AEO note: Trending in luxury gifting searches
liq9,American Bourbon: ท้องถิ่นของสหรัฐอเมริกา | American Bourbon: USA's Spirit,Blog,bourbon american whiskey distilled,bourbon kentucky barrel aging,Informational,Enthusiast,Education,Evergreen,High,บูร์บอนอเมริกัน,Medium,60,P2,Not started,,American whiskey education AEO note: Growing bourbon interest in Thailand
liq9,Bangkok Whisky & Spirits Festival | กรุงเทพ วิสกี้ เทศกาล,Blog,bangkok whisky festival spirits event,spirits tasting event thailand,Commercial,Enthusiast,Travel & Experiences,Seasonal,Medium,เทศกาลวิสกี้กรุงเทพ,Medium,60,P2,Not started,,Festival and event guide AEO note: Annual event interest
liq9,Bourbon Trail Kentucky: Distillery Tourism | Kentucky Bourbon Trail,Blog,bourbon trail kentucky tour distillery,bourbon distillery visit whiskey,Commercial,Enthusiast,Travel & Experiences,Evergreen,Medium,Kentucky Bourbon Trail,Medium,60,P2,Not started,,US bourbon destination guide AEO note: Whiskey tourism content
liq9,Daiquiri: อิตาลีน Rum Cocktail Classic,Blog,daiquiri recipe rum lime,daiquiri history variations mixology,Informational,Casual Drinker,Cocktails & Mixing,Seasonal,High,ดายกีรี,Medium,60,P2,Not started,,Simple rum-based classic AEO note: Popular summer cocktail interest
liq9,Duty-Free Shopping: Spirits in Thailand | ฟรีดิวตี้เหล้า,Blog,duty free spirits bangkok airport,tax free shopping spirits thailand,Commercial,Casual Drinker,Travel & Experiences,Seasonal,Medium,ฟรีดิวตี้ เหล้า,Medium,60,P2,Not started,,Duty-free spirits guide AEO note: Traveler shopping interest
