Brand,Topic Title (Thai | EN),Content Type,Primary Keyword,Long-tail Keywords,Search Intent,Buyer Persona,Category,Seasonality,Demand Signal,GSC Impressions,Thai Keyword,AEO Value,Priority Score,Priority,Production Status,Article File,Notes
wine-now,ชุมชนไวน์กรุงเทพ: สถานที่ที่นักสะสมมาพบกัน | Bangkok Wine Community: Where Collectors Meet,Blog,wine community Bangkok,"wine enthusiasts Bangkok, wine events Bangkok, wine society Thailand",Commercial,Enthusiast,Travel & Experiences,Evergreen,Medium,,ชุมชนไวน์กรุงเทพ,High,70,P1,Not started,,Community guide
wine-now,ไวน์ยั่งยืน: สำคัญจริงๆ หรือแค่การตลาด | Sustainable Wine: Does It Actually Matter,Blog,sustainable wine,"organic wine, biodynamic wine, sustainable vineyard, eco-friendly wine",Informational,Enthusiast,Spotlights,Evergreen,High,,ไวน์ที่ยั่งยืน,High,70,P1,Not started,,Sustainability content
wine-now,Natural / Organic / Biodynamic: 3 คำที่คนสับสนที่สุดในร้านไวน์ | Natural Wine: Trend or Traditional Return,Blog,natural wine,"natural wine, natural wine guide, natural wine benefits, what is natural wine, orange wine",Informational,Enthusiast,Spotlights,Evergreen,High,,ไวน์ธรรมชาติ,High,70,P1,Published,pipeline/public/content/day5-natural-organic-biodynamic.html,Trendy educational content Article also covers Organic (overlaps row 'Organic Wine').
wine-now,ไวน์บอร์โดซ์: ทำไมถึงสำคัญ และผู้ผลิตที่คุณต้องลองชิม | Bordeaux Wine: Why It Matters and What to Taste,Blog,Bordeaux wine,"Bordeaux wine, Bordeaux classification, Bordeaux regions, left bank vs right bank",Informational,Enthusiast,Spotlights,Seasonal,Medium,475,ไวน์บอร์กุนดี,High,60,P2,Not started,,Regional spotlight Season: Fall.
wine-now,ไวน์เบอร์กันดี: หัวใจของไวน์ฝรั่งเศส เข้าใจง่ายใน 5 นาที | Burgundy Wine: The Heart of French Wine Country,Blog,Burgundy wine,"Burgundy wine region, Pinot noir Burgundy, Chardonnay Burgundy, Burgundy classification",Informational,Enthusiast,Spotlights,Seasonal,Low,87,ไวน์บูร์กุนดี,High,50,P3,Not started,,Regional spotlight Season: Fall.
wine-now,ลงทุนในไวน์วินเทจ: ไวน์เป็นสินทรัพย์ทางการเงินได้จริงไหม | Vintage Wine Investment: Can Wine Be a Financial Asset,Blog,wine investment,"wine as investment, collectible wine, wine portfolio, wine appreciation",Informational,Collector,Tips & Guides,Evergreen,High,,ไวน์เป็นการลงทุน,High,70,P1,Not started,,Investment guide
wine-now,ไวน์ระดับ Premium: คำแนะนำสำหรับนักสะสมและโอกาสพิเศษ | Luxury Wine Recommendations: For Collectors and Special Occasions,Blog,luxury wine,"expensive wine, collector wine, wine gift, prestige wine",Commercial,Collector,Tips & Guides,Seasonal,Medium,,ไวน์หรูหรา,High,70,P1,Not started,,Luxury guide Season: Holidays.
wine-now,ไวน์เก่า: ขวดไหนดีขึ้นเมื่อเวลาผ่านไป | Aging Wine: Which Bottles Improve With Time,Blog,wine aging,"wine aging, how long to age wine, cellar worthy wine, investment wine",Informational,Collector,Education,Evergreen,High,,การเก็บรักษาไวน์,High,70,P1,Not started,,Collector guide
wine-now,ไวน์ออร์แกนิก: ความหมายที่แท้จริง และสำคัญแค่ไหนกับคุณ | Organic Wine: What It Really Means and If It Matters,Blog,organic wine,"organic wine, biodynamic wine, certified organic, natural wine",Informational,Enthusiast,Education,Evergreen,High,,ไวน์อินทรีย์,High,70,P1,Not started,,Educational content
wine-now,Pinot Noir vs Cabernet: หยุดถามว่าอันไหนดีกว่า | Pinot Noir vs Cabernet: Beyond the Age-Old Debate,Blog,red wine comparison,"Pinot Noir Cabernet comparison, red wine varieties, wine selection",Commercial,Explorer,Education,Evergreen,High,,ไวน์แดงเปรียบเทียบ,Medium,70,P1,Not started,,Educational content
wine-now,ไวน์กับสุขภาพ: แยกข้อเท็จจริงออกจากข่าวพาดหัว | Wine and Health: Separating Facts from Headlines,Blog,wine health,"wine health benefits, resveratrol, wine and heart health, wine nutrition",Informational,Explorer,Education,Evergreen,High,,ไวน์และสุขภาพ,High,70,P1,Not started,,Health content
wine-now,คลื่นใหม่: นักทำไวน์รุ่นใหม่ที่กำลังเปลี่ยนกฎของ Old World | The New Wave: Young Winemakers Rewriting Old World Rules,Blog,young winemakers,"natural wine, biodynamic wine, young winemakers, wine innovation, wine trends",Informational,Enthusiast,Spotlights,Seasonal,High,,นักผลิตไวน์รุ่นใหม่,High,70,P1,Not started,,Trendy content Season: Spring/Fall.
wine-now,การ Decant ไวน์: ขวดไหนต้อง Decant และทำอย่างไรให้ถูกต้อง | Decanting Wine: Why and How to Do It Right,Blog,how to decant wine,"wine decanting, decanter, how long to decant, wine sediment, decanting process",Informational,Enthusiast,Tips & Guides,Evergreen,High,,การสัก,Medium,60,P2,Not started,,Technique guide
wine-now,Pizza Night x ไวน์: Lambrusco พระเอกที่คนไม่ค่อยพูดถึง | Pizza Night x Wine: Lambrusco The Hero No One Talks About,Blog,wine pairing pizza,"wine and pizza, Lambrusco pizza, Italian wine pizza pairing, casual wine pairings",Commercial,Explorer,Pairing & Serving,Seasonal,Medium,199,ผสมไวน์กับพิซซ่า,Medium,60,P2,Not started,,Lifestyle content Season: Anytime.
wine-now,ชิมไวน์ปิดตา: คู่มือจัดงานที่บ้านฉบับสมบูรณ์ | Host a Blind Tasting at Home: The Complete Guide,Blog,blind wine tasting,"blind tasting, wine tasting game, hosting wine tasting, wine tasting at home",Commercial,Enthusiast,Tips & Guides,Seasonal,Medium,,ชิมไวน์ตาบอด,Medium,60,P2,Not started,,Entertainment guide Season: Holidays.
wine-now,การชิมไวน์: วิธีจับรสชาติและเขียน Tasting Notes แบบมืออาชีพ | Wine Tasting Notes: How to Identify Flavors Like a Pro,Blog,wine tasting notes,"wine tasting, wine flavor notes, wine taste vocabulary, wine tasting guide",Informational,Enthusiast,Education,Evergreen,High,,โน้ตการชิม,Medium,60,P2,Not started,,Educational guide
wine-now,อาหารมังสวิรัติไทย x ไวน์: ความซับซ้อนที่หลายคนมองข้าม | Vegetarian Thai Food x Wine: The Complexity Everyone Overlooked,Blog,wine pairing vegetarian,"wine vegetarian pairing, meat-free wine pairing, vegetarian wine guide",Commercial,Enthusiast,Pairing & Serving,Seasonal,Medium,199,ผสมไวน์กับอาหารเจ,Medium,60,P2,Not started,,Lifestyle content Season: Anytime.
wine-now,ไวน์มีกี่ประเภท: สเปกตรัมสมบูรณ์เกินกว่าแค่ Cabernet | Wine Types Beyond Cabernet: A Complete Spectrum,Blog,wine varieties,"wine types, grape varieties, wine selection, wine styles",Informational,Explorer,Education,Evergreen,High,,ชนิดไวน์,Medium,60,P2,Not started,,Educational content
wine-now,ปีวินเทจ: เมื่อไหร่ที่ตัวเลขบนขวดสำคัญ และเมื่อไหร่ที่ไม่ | Vintage Year: When the Number Matters and When It Doesn't,Blog,vintage year wine,"vintage wine, wine vintage guide, vintage year meaning, old wine, wine age",Informational,Enthusiast,Education,Evergreen,Medium,246,ปีวินเทจ,Medium,50,P3,Not started,,Educational content
wine-now,เก็บไวน์ในคอนโด: วิธีให้ไวน์อยู่รอดในเมืองร้อน | Wine Cellar Storage: How to Keep Wine Fresh at Home,Blog,wine storage,"wine storage, how to store wine, wine temperature, wine rack, wine cabinet",Informational,Collector,Tips & Guides,Evergreen,High,,การเก็บรักษาไวน์,Medium,60,P2,Published,pipeline/public/content/day3-wine-storage-condo.html,Practical guide Article localized to condo / hot-city storage.
wine-now,ชาเปญ vs ไวน์สปาร์กลิง: อะไรคือความแตกต่างที่แท้จริง | Champagne vs Sparkling: What's the Real Difference,Blog,Champagne sparkling wine,"Champagne vs prosecco, champagne vs sparkling wine, sparkling wine guide, champagne region",Informational,Explorer,Education,Seasonal,High,1989,แชมเปญ,Medium,60,P2,Not started,,Holiday-focused Season: Holidays.
wine-now,ใบรับรองและความถูกต้องของไวน์: วิธีสังเกตไวน์ปลอม | Wine Certificates & Authenticity: How to Spot a Fake,Blog,wine authenticity,"counterfeit wine, wine authentication, wine certification, fake wine",Informational,Collector,Tips & Guides,Evergreen,Medium,,ความแท้ของไวน์,High,60,P2,Not started,,Collector guide
wine-now,ไวน์ไทย: สิ่งที่ต้องรู้ก่อนซื้อ | Thai Wine: What You Need to Know Before Buying,Blog,Thai wine,"Thai wine, Thailand wine region, Thai wine production, local wine",Informational,Explorer,Education,Evergreen,Medium,,ไวน์ไทย,High,60,P2,Not started,,Local angle
wine-now,Château Margaux: 50 ปีแห่งการเดินทางในแต่ละขวด | Chateau Margaux: A 50-Year Journey in Bottles,Blog,Chateau Margaux,"Chateau Margaux wine, Bordeaux first growth, wine investment, collectible wine",Informational,Collector,Spotlights,Seasonal,Medium,124,Chateau Margaux,High,60,P2,Not started,,Collector content Season: Anytime.
wine-now,ชุมชนไวน์: ผู้ผลิตท้องถิ่นและนักสะสมที่คุณควรรู้จัก | Wine Community: The Local Producers and Collectors,Blog,local wine community,"local wine makers, small batch wine, artisan wine, local vineyards",Commercial,Enthusiast,Spotlights,Evergreen,Medium,,ชุมชนไวน์,Medium,60,P2,Not started,,Community content
wine-now,ตารางวินเทจ: ปีไหนควรซื้อ ปีไหนควรหลีกเลี่ยง | Wine Vintage Chart: Which Years to Buy and Avoid,Blog,wine vintage chart,"vintage year guide, best wine years, wine quality by year, vintage ratings",Informational,Enthusiast,Education,Evergreen,Medium,246,แผนที่ปีวินเทจ,Medium,50,P3,Not started,,Reference guide
wine-now,คู่มือไวน์มีฟอง: ประเภท ความแตกต่าง และวิธีเลือก | Sparkling Wine Guide: Types Classifications and Selection,Blog,sparkling wine,"sparkling wine types, wine bubbles, carbonated wine, wine effervescence",Informational,Explorer,Education,Seasonal,High,1989,ไวน์มีฟอง,Medium,60,P2,Not started,,Educational content Season: Holidays.
wine-now,ไวน์หวาน: ไม่ใช่แค่ของหวานหลังมื้ออาหารอีกต่อไป | Dessert Wine: Not Just for After Dinner Anymore,Blog,dessert wine,"sweet wine, dessert wine, ice wine, late harvest wine, wine pairing",Commercial,Explorer,Pairing & Serving,Seasonal,Medium,,ไวน์หวาน,Medium,60,P2,Not started,,Pairing guide Season: Holidays.
wine-now,จัดงาน Wine Tasting ที่บ้าน: คู่มือฉบับสมบูรณ์ | Wine Tasting Event: How to Host One at Home,Blog,wine tasting party,"host wine tasting, wine party, wine event, wine gathering",Commercial,Enthusiast,Tips & Guides,Seasonal,Medium,,งานชิมไวน์,Medium,60,P2,Not started,,Entertainment guide Season: Holidays.
wine-now,เย็นไวน์ใน 15 นาที: เทคนิคฉุกเฉินที่ทุกคนควรรู้ | Rapid Chilling: Cool a Warm Wine in 15 Minutes,Blog,quick chill wine,"chill wine fast, rapid wine chilling, ice bucket trick, how to cool wine",Transactional,Explorer,Tips & Guides,Evergreen,Medium,,การหล่อไวน์อย่างรวดเร็ว,Low,55,P2,Not started,,Quick tips
wine-now,Sommelier คือใคร และเขาช่วยคุณได้อย่างไร | Wine Sommeliers: Who They Are and Why You Need One,Blog,sommelier,"wine expert, sommelier certification, wine consultant, wine advisor",Informational,Enthusiast,Tips & Guides,Evergreen,Medium,,sommelier,Medium,50,P3,Not started,,Professional guide
wine-now,นักทำไวน์หญิง: ผู้ผลิตสตรีที่กำลังเปลี่ยนวงการ | Woman Winemakers: Female Producers Changing the Industry,Blog,female winemakers,"woman sommelier, women in wine, female wine producer, female winemakers",Informational,Enthusiast,Spotlights,Evergreen,Medium,,นักผลิตไวน์หญิง,Medium,50,P3,Not started,,Diversity content
wine-now,ห้องเก็บไวน์: ออกแบบพื้นที่จัดเก็บในฝันของคุณ | Wine Cellar Design: Creating Your Perfect Wine Storage,Blog,wine storage design,"wine cellar, wine fridge, wine storage, wine cabinet design",Commercial,Collector,Tips & Guides,Evergreen,Medium,,การออกแบบห้องเก็บไวน์,Low,50,P3,Not started,,Collector content
wine-now,วิทยาศาสตร์การจับคู่อาหาร: ทำไมไวน์กับอาหารถึงเข้ากันได้ | Food Pairing Science: Why Wine and Food Work Together,Blog,food pairing science,"wine pairing rules, food pairing chemistry, wine food combinations, pairing guide",Informational,Enthusiast,Education,Evergreen,Medium,,วิทยาศาสตร์การผสม,Medium,50,P3,Not started,,Educational content
wine-now,ซื้อไวน์ก่อนออกขาย: ทำความเข้าใจ En Primeur | Wine Futures: How to Buy Wine Before It's Released,Blog,wine futures,"wine futures, en primeur, barrel samples, wine pre-order",Commercial,Collector,Tips & Guides,Seasonal,Medium,,ไวน์ล่วงหน้า,Low,50,P3,Not started,,Collector guide Season: Fall.
wine-now,Tannin คืออะไร และทำไมไวน์บางขวดทำให้ฝาดในปาก | Tannins Explained: Why Your Wine Tastes Dry,Blog,wine tannins,"what are tannins, tannin in wine, dry wine explanation, tannin profile, wine body",Informational,Explorer,Education,Evergreen,Medium,,เทวิน,Medium,50,P3,Published,pipeline/public/content/day2-tannin.html,Sensory education
wine-now,"บอดี้ไวน์: ความแตกต่างระหว่าง Light, Medium และ Full-Bodied | Wine Body: Light Medium or Full-Bodied",Blog,wine body,"light bodied wine, full bodied wine, wine weight, wine texture, wine mouthfeel",Informational,Explorer,Education,Evergreen,Medium,,บอดี้ไวน์,Medium,50,P3,Not started,,Sensory education
wine-now,ราคาไวน์: ทำไมบางขวดถึงแพงกว่าที่คาด | Wine Pricing: Why Some Bottles Cost More Than Others,Blog,wine prices,"wine price, expensive wine, wine value, wine cost",Informational,Enthusiast,Education,Evergreen,Medium,,ราคาไวน์,Medium,50,P3,Not started,,Educational content
wine-now,Acidity ในไวน์: ทำไมความเปรี้ยวคือสัญญาณที่ดี (และจับคู่อาหารไทยได้ดี) | Acidity in Wine: The Freshness Factor,Blog,wine acidity,"acidity in wine, wine freshness, acidic wines, wine taste profile, fresh wine",Informational,Explorer,Education,Evergreen,Medium,,ความเป็นกรด,Medium,50,P3,Published,pipeline/public/content/day2-wine-acidity.html,Tasting fundamentals
wine-now,ไวน์กล่อง: ทำลายมายาคติว่ามันถูกและไม่ดีเสมอไป | Boxed Wine: Dispelling the Myth It's Always Cheap,Blog,boxed wine,"box wine, wine in a box, affordable wine, budget wine",Commercial,Explorer,Tips & Guides,Evergreen,Medium,,ไวน์กล่อง,Low,50,P3,Not started,,Budget guide
wine-now,Wine Club: คุ้มค่าเงินหรือเปล่า | Wine Clubs: Are They Worth Your Money,Blog,wine club,"wine club subscription, wine of the month club, wine membership",Commercial,Enthusiast,Tips & Guides,Evergreen,High,4596,ไวน์คลับ,Low,60,P2,Not started,,Shopping guide
wine-now,ไวน์เต็มตัวไม่ได้แปลว่าดีกว่า: ทำความเข้าใจคุณภาพไวน์อย่างถูกต้อง | Full-Bodied Doesn't Mean Better: A Lesson on Wine Quality,Blog,wine quality assessment,"wine quality, how to evaluate wine, wine rating system, wine scoring",Informational,Enthusiast,Education,Evergreen,Medium,,การประเมินคุณภาพไวน์,Medium,50,P3,Not started,,Educational content
wine-now,สมาชิกไวน์รายเดือน: คุ้มค่าจริงไหมที่จะสั่งแบบ Recurring | Wine Subscriptions: Is Recurring Delivery Worth It,Blog,wine subscription,"wine subscription box, monthly wine club, wine delivery subscription",Commercial,Explorer,Tips & Guides,Evergreen,Medium,,สมัครสมาชิกไวน์,Low,50,P3,Not started,,Shopping guide
wine-now,คะแนนไวน์: ความแตกต่างระหว่าง Score กับ Opinion | Wine Ratings Demystified: Scores vs Opinions,Blog,wine ratings,"wine scores, wine reviews, wine rating system, wine criticism",Informational,Enthusiast,Education,Evergreen,Medium,,การให้คะแนนไวน์,Medium,50,P3,Not started,,Educational content
wine-now,Sulfites ในไวน์: คืออะไร และทำไมถึงสำคัญ | Sulfites in Wine: What They Are and Why They Matter,Blog,sulfites wine,"sulfites wine, preservatives in wine, wine additives, natural wine",Informational,Enthusiast,Education,Evergreen,Medium,,ซัลไฟต์ในไวน์,Low,40,P3,Not started,,Educational content
